node.exe :  ┬╗   Warning: @salesforce/cli update available from [92m2.85.7[39m to 
[92m2.133.4[39m.
At C:\Program Files\nodejs\sfdx.ps1:16 char:5
+     & "$basedir/node$exe" --no-deprecation "$basedir/node_modules/@sa ...
+     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ( ┬╗   Warning: ...2m2.133.4[39m.:String) [], 
    RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Warning: We plan to stop supporting v4.x of Code Analyzer in the coming months. We highly 
recommend that you start using v5.x, which is currently in Beta. For information on v5.x, 
see https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/code-anal
yzer.html.
"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"93","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","10","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"94","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","10","19","StdCyclomaticComplexity","The method 'isEnabled' has a Standard Cyclomatic Complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"95","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","10","19","CognitiveComplexity","The method 'isEnabled(String, Id)' has a cognitive complexity of 15, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"96","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","10","19","CyclomaticComplexity","The method 'isEnabled(String, Id)' has a cyclomatic complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"97","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","11","42","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"98","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","11","42","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"99","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\FeatureFlag.cls","43","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"100","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","26","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"101","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","26","21","StdCyclomaticComplexity","The class 'IncidentRestApi' has a Standard Cyclomatic Complexity of 16 (Highest = 28).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"102","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","26","21","CognitiveComplexity","The class 'IncidentRestApi' has a total cognitive complexity of 51 (highest 48), current threshold is 50","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"103","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","29","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"104","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","35","16","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"105","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","35","16","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"106","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","55","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"107","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","55","19","StdCyclomaticComplexity","The method 'doPost' has a Standard Cyclomatic Complexity of 28.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"108","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","55","19","CognitiveComplexity","The method 'doPost()' has a cognitive complexity of 48, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"109","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","55","19","CyclomaticComplexity","The method 'doPost()' has a cyclomatic complexity of 31.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"110","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","55","19","NcssMethodCount","The method 'doPost()' has an NCSS line count of 123 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"111","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","153","77","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"112","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","153","77","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"113","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","155","47","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"114","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","155","47","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"115","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","156","50","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"116","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","156","50","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"117","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApi.cls","257","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"118","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApiTest.cls","9","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"119","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApiTest.cls","62","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"120","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IncidentRestApiTest.cls","63","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"121","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","11","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"122","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","13","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"123","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","28","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"124","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","48","58","ApexSOQLInjection","Avoid untrusted/unescaped variables in DML query","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsoqlinjection","Security","pmd"
"125","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","67","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"126","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","67","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"127","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","104","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"128","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","104","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"129","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","135","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"130","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\IntegrationEndpointController.cls","153","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"131","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LegacyOrgCoverageTest.cls","19","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"132","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LegacyOrgCoverageTest.cls","20","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"133","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LegacyOrgCoverageTest.cls","21","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"134","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LegacyOrgCoverageTest.cls","22","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"135","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LoopDemo.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"136","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LoopDemo.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"137","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LoopDemo.cls","2","19","MethodNamingConventions","The static method name 'SumOfNaturalNums' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"138","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LoopDemo.cls","7","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"139","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\LoopDemo.cls","7","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"140","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","10","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"141","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","10","21","StdCyclomaticComplexity","The class 'NotificationService' has a Standard Cyclomatic Complexity of 10 (Highest = 12).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"142","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","16","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"143","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","16","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"144","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","83","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"145","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","83","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"146","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","83","19","StdCyclomaticComplexity","The method 'sendSlackAlert' has a Standard Cyclomatic Complexity of 12.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"147","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","83","19","CognitiveComplexity","The method 'sendSlackAlert(Id)' has a cognitive complexity of 16, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"148","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\NotificationService.cls","83","19","CyclomaticComplexity","The method 'sendSlackAlert(Id)' has a cyclomatic complexity of 13.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"149","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\OpportunityQuery.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"150","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\OpportunityQuery.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"151","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\OpportunityQuery.cls","3","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"152","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\OpportunityQuery.cls","3","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"153","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\PlatformEventPublisher.cls","9","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"154","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\PlatformEventPublisher.cls","11","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"155","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\PlatformEventPublisher.cls","11","19","CyclomaticComplexity","The method 'publishIntegrationHealthEvents(List<Integration_Log__c>)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"156","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\PlatformEventPublisher.cls","37","17","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"157","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiter.cls","9","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"158","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiter.cls","11","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"159","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiter.cls","36","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"160","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiterTest.cls","11","12","MethodNamingConventions","The test method name 'testIsRateLimited_Allow' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"161","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiterTest.cls","22","12","MethodNamingConventions","The test method name 'testIsRateLimited_Block' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"162","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiterTest.cls","34","28","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"163","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiterTest.cls","34","28","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"164","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RateLimiterTest.cls","40","9","ApexAssertionsShouldIncludeMessage","'System.assertNotEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"165","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Rectangle.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"166","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Rectangle.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"167","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Rectangle.cls","6","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"168","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\Rectangle.cls","6","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"169","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","12","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"170","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","23","19","ExcessiveParameterList","Avoid long parameter lists.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#excessiveparameterlist","Design","pmd"
"171","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","23","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"172","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","23","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"173","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","46","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"174","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","74","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"175","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","74","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"176","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","98","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"177","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","98","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"178","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogService.cls","98","19","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"179","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogServiceTest.cls","6","9","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"180","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogServiceTest.cls","31","12","MethodNamingConventions","The test method name 'testLog_insertsRecord' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"181","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogServiceTest.cls","49","12","MethodNamingConventions","The test method name 'testLog_success' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"182","1","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\RetryLogServiceTest.cls","66","12","MethodNamingConventions","The test method name 'testLog_nullIncidentId_doesNotThrow' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"183","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\SSORegHandler.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"184","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\SSORegHandler.cls","1","8","AvoidGlobalModifier","Avoid using global modifier","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"185","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\SSORegHandler.cls","1","8","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"186","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\SSORegHandler.cls","1","8","StdCyclomaticComplexity","The class 'SSORegHandler' has a Standard Cyclomatic Complexity of 8 (Highest = 12).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"187","3","D:\TomCodeX Inc\SEOMP\force-app\main\default\classes\SSORegHandler.cls","3","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
